Name,Stat,Line
Nikola Vucevic,Points,18.5
Patrick Beverley,Points,6.5
Zach LaVine,Points,26.5
DeMar DeRozan,Points,22.5
Joel Embiid,Points,33.5
Pascal Siakam,Points,21.5
James Harden,Points,20.5
Fred VanVleet,Points,18.5
Scottie Barnes,Points,15.5
OG Anunoby,Points,15.5
Jakob Poeltl,Points,12.0
Paolo Banchero,Points,20.5
Wendell Carter Jr.,Points,15.5
Franz Wagner,Points,17.5
Markelle Fultz,Points,14.5
Gary Harris,Points,7.5
Cole Anthony,Points,13.5
Jalen Suggs,Points,9.5
Talen Horton-Tucker,Points,18.5
Ochai Agbaji,Points,12.5
Walker Kessler,Points,12.5
Kris Dunn,Points,12.5
Donovan Mitchell,Points,28.5
Jalen Brunson,Points,24.5
Darius Garland,Points,22.5
RJ Barrett,Points,20.5
Evan Mobley,Points,17.0
Quentin Grimes,Points,12.0
Caris LeVert,Points,13.5
Lamar Stevens,Points,8.0
Immanuel Quickley,Points,16.5
Isaiah Hartenstein,Points,5.0
Royce O'Neale,Points,8.5
Trae Young,Points,26.0
LeBron James,Points,26.5
Mikal Bridges,Points,27.5
Anthony Davis,Points,26.0
Anthony Edwards,Points,25.5
Dejounte Murray,Points,19.5
D'Angelo Russell,Points,17.5
Spencer Dinwiddie,Points,19.5
Clint Capela,Points,11.5
Nicolas Claxton,Points,12.5
Mike Conley,Points,12.5
Austin Reaves,Points,14.0
Cameron Johnson,Points,16.5
Rudy Gobert,Points,13.5
John Collins,Points,11.5
Dorian Finney-Smith,Points,7.5
Jalen Green,Points,23.5
Jaden Ivey,Points,20.0
Kevin Porter Jr.,Points,19.5
Marvin Bagley III,Points,14.5
Alperen Sengun,Points,14.5
James Wiseman,Points,14.5
Jabari Smith Jr.,Points,14.5
Killian Hayes,Points,13.5
Ja Morant,Points,27.5
Kawhi Leonard,Points,25.5
Desmond Bane,Points,21.5
Jaren Jackson Jr.,Points,17.5
Dillon Brooks,Points,11.5
Xavier Tillman,Points,9.5
De'Aaron Fox,Points,22.5
Domantas Sabonis,Points,17.5
Shaedon Sharpe,Points,22.5
Harrison Barnes,Points,13.5
Nassir Little,Points,14.5
Drew Eubanks,Points,9.5
Kevin Huerter,Points,14.5
Keegan Murray,Points,11.5
Stephen Curry,Points,28.5
Klay Thompson,Points,21.5
Draymond Green,Points,9.5
Donte DiVincenzo,Points,8.0
Jordan Poole,Points,20.5
Devin Booker,Points,27.5
Kevin Durant,Points,23.0
Chris Paul,Points,12.5
Deandre Ayton,Points,14.5
Nikola Vucevic,Rebounds,12.0
Patrick Beverley,Rebounds,4.0
Zach LaVine,Rebounds,4.0
DeMar DeRozan,Rebounds,5.0
Joel Embiid,Rebounds,10.0
Pascal Siakam,Rebounds,7.5
James Harden,Rebounds,6.0
Fred VanVleet,Rebounds,3.5
Scottie Barnes,Rebounds,6.0
OG Anunoby,Rebounds,4.0
Jakob Poeltl,Rebounds,8.5
Paolo Banchero,Rebounds,7.0
Wendell Carter Jr.,Rebounds,9.0
Franz Wagner,Rebounds,4.0
Cole Anthony,Rebounds,5.0
Jalen Suggs,Rebounds,3.5
Talen Horton-Tucker,Rebounds,4.5
Ochai Agbaji,Rebounds,2.5
Walker Kessler,Rebounds,10.5
Donovan Mitchell,Rebounds,5.0
Jalen Brunson,Rebounds,3.5
RJ Barrett,Rebounds,5.0
Evan Mobley,Rebounds,9.5
Quentin Grimes,Rebounds,3.5
Caris LeVert,Rebounds,4.0
Lamar Stevens,Rebounds,6.0
Royce O'Neale,Rebounds,4.5
LeBron James,Rebounds,8.0
Mikal Bridges,Rebounds,4.0
Anthony Davis,Rebounds,11.5
Anthony Edwards,Rebounds,5.0
Dejounte Murray,Rebounds,5.0
D'Angelo Russell,Rebounds,2.5
Clint Capela,Rebounds,11.0
Nicolas Claxton,Rebounds,9.5
Rudy Gobert,Rebounds,12.0
John Collins,Rebounds,5.5
Dorian Finney-Smith,Rebounds,4.5
Kevin Porter Jr.,Rebounds,5.5
Marvin Bagley III,Rebounds,7.5
Alperen Sengun,Rebounds,9.5
James Wiseman,Rebounds,8.0
Jabari Smith Jr.,Rebounds,8.0
Ja Morant,Rebounds,6.0
Kawhi Leonard,Rebounds,7.0
Desmond Bane,Rebounds,4.5
Jaren Jackson Jr.,Rebounds,7.0
Xavier Tillman,Rebounds,6.5
De'Aaron Fox,Rebounds,3.5
Domantas Sabonis,Rebounds,11.5
Shaedon Sharpe,Rebounds,5.0
Harrison Barnes,Rebounds,4.5
Nassir Little,Rebounds,4.0
Drew Eubanks,Rebounds,7.0
Kevin Huerter,Rebounds,3.5
Keegan Murray,Rebounds,5.0
Stephen Curry,Rebounds,6.0
Draymond Green,Rebounds,7.0
Donte DiVincenzo,Rebounds,3.5
Devin Booker,Rebounds,4.0
Kevin Durant,Rebounds,6.0
Deandre Ayton,Rebounds,8.5
Zach LaVine,Assists,4.0
DeMar DeRozan,Assists,5.0
Joel Embiid,Assists,3.5
Pascal Siakam,Assists,5.0
James Harden,Assists,10.5
Fred VanVleet,Assists,7.0
Scottie Barnes,Assists,4.0
Franz Wagner,Assists,3.5
Markelle Fultz,Assists,5.5
Cole Anthony,Assists,3.0
Talen Horton-Tucker,Assists,5.0
Kris Dunn,Assists,5.0
Donovan Mitchell,Assists,4.0
Jalen Brunson,Assists,6.0
Darius Garland,Assists,7.0
Royce O'Neale,Assists,2.5
Trae Young,Assists,9.5
LeBron James,Assists,5.0
Anthony Edwards,Assists,4.0
Dejounte Murray,Assists,5.0
D'Angelo Russell,Assists,5.0
Spencer Dinwiddie,Assists,9.0
Mike Conley,Assists,5.5
Austin Reaves,Assists,4.0
Jalen Green,Assists,3.5
Jaden Ivey,Assists,6.0
Kevin Porter Jr.,Assists,6.0
Killian Hayes,Assists,7.0
Ja Morant,Assists,7.5
Kawhi Leonard,Assists,4.0
De'Aaron Fox,Assists,5.5
Domantas Sabonis,Assists,6.5
Shaedon Sharpe,Assists,4.0
Stephen Curry,Assists,6.5
Draymond Green,Assists,7.0
Donte DiVincenzo,Assists,2.5
Jordan Poole,Assists,4.0
Devin Booker,Assists,5.0
Chris Paul,Assists,9.0
Nikola Vucevic,Pts+Rebs+Asts,34.0
Patrick Beverley,Pts+Rebs+Asts,13.5
Zach LaVine,Pts+Rebs+Asts,34.5
DeMar DeRozan,Pts+Rebs+Asts,32.5
Joel Embiid,Pts+Rebs+Asts,47.5
Pascal Siakam,Pts+Rebs+Asts,34.5
James Harden,Pts+Rebs+Asts,37.5
Fred VanVleet,Pts+Rebs+Asts,30.5
Scottie Barnes,Pts+Rebs+Asts,25.5
OG Anunoby,Pts+Rebs+Asts,21.5
Jakob Poeltl,Pts+Rebs+Asts,23.5
Paolo Banchero,Pts+Rebs+Asts,31.5
Wendell Carter Jr.,Pts+Rebs+Asts,27.0
Franz Wagner,Pts+Rebs+Asts,25.5
Markelle Fultz,Pts+Rebs+Asts,24.5
Cole Anthony,Pts+Rebs+Asts,22.5
Jalen Suggs,Pts+Rebs+Asts,14.5
Talen Horton-Tucker,Pts+Rebs+Asts,28.5
Ochai Agbaji,Pts+Rebs+Asts,16.5
Walker Kessler,Pts+Rebs+Asts,24.5
Kris Dunn,Pts+Rebs+Asts,21.5
Donovan Mitchell,Pts+Rebs+Asts,37.5
Jalen Brunson,Pts+Rebs+Asts,34.5
Darius Garland,Pts+Rebs+Asts,33.5
Evan Mobley,Pts+Rebs+Asts,29.5
Caris LeVert,Pts+Rebs+Asts,21.5
Lamar Stevens,Pts+Rebs+Asts,15.0
Immanuel Quickley,Pts+Rebs+Asts,23.5
Isaiah Hartenstein,Pts+Rebs+Asts,14.5
Royce O'Neale,Pts+Rebs+Asts,15.5
Trae Young,Pts+Rebs+Asts,38.5
LeBron James,Pts+Rebs+Asts,39.5
Mikal Bridges,Pts+Rebs+Asts,34.5
Anthony Davis,Pts+Rebs+Asts,39.5
Anthony Edwards,Pts+Rebs+Asts,35.5
Dejounte Murray,Pts+Rebs+Asts,30.5
D'Angelo Russell,Pts+Rebs+Asts,25.5
Spencer Dinwiddie,Pts+Rebs+Asts,32.5
Clint Capela,Pts+Rebs+Asts,23.5
Nicolas Claxton,Pts+Rebs+Asts,24.5
Mike Conley,Pts+Rebs+Asts,21.5
Austin Reaves,Pts+Rebs+Asts,22.0
Cameron Johnson,Pts+Rebs+Asts,23.5
Rudy Gobert,Pts+Rebs+Asts,27.5
John Collins,Pts+Rebs+Asts,18.5
Jalen Green,Pts+Rebs+Asts,30.5
Jaden Ivey,Pts+Rebs+Asts,30.5
Kevin Porter Jr.,Pts+Rebs+Asts,31.5
Marvin Bagley III,Pts+Rebs+Asts,22.5
Alperen Sengun,Pts+Rebs+Asts,28.5
James Wiseman,Pts+Rebs+Asts,22.5
Jabari Smith Jr.,Pts+Rebs+Asts,25.0
Killian Hayes,Pts+Rebs+Asts,23.5
Ja Morant,Pts+Rebs+Asts,40.5
Kawhi Leonard,Pts+Rebs+Asts,37.5
Desmond Bane,Pts+Rebs+Asts,29.5
Jaren Jackson Jr.,Pts+Rebs+Asts,25.5
Xavier Tillman,Pts+Rebs+Asts,18.5
De'Aaron Fox,Pts+Rebs+Asts,31.5
Domantas Sabonis,Pts+Rebs+Asts,35.5
Shaedon Sharpe,Pts+Rebs+Asts,31.5
Harrison Barnes,Pts+Rebs+Asts,19.5
